Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;DBO;DBO;mg/L;;5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;DEMETON (O+S);Demeton (Demeton-O + Demeton-S);µg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;DENSIDADE DE CIANOBACTERIAS;Densidade de cianobactérias;cel/mL;;50000;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;DIBENZO(A,H)ANTRACENO;Dibenzo(a,h)antraceno;µg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;DICLOROMETANO;Diclorometano;mg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;DODECACLOROPENTACICLODECANO;Dodecacloro pentaciclodecano;µg/L;;0.001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ENDOSSULFAN (A, B E SULFATO);Endossulfan (a + b + sulfato);µg/L;;0.056;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ENDRIN;Endrin;µg/L;;0.004;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ESTIRENO;Estireno;mg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ETILBENZENO;Etilbenzeno;µg/L;;90;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;FENOIS TOTAIS;Fenóis totais;mg/L;;0.003;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;FERRO DISSOLVIDO;Ferro dissolvido;mg/L;;0.3;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;FLUORETO TOTAL;Fluoreto total;mg/L;;1.4;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;FOSFORO TOTAL (AMBIENTE INTERMEDIARIO);Fósforo total;mg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;FOSFORO TOTAL (AMBIENTE LENTICO);Fósforo total;mg/L;;0.03;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;FOSFORO TOTAL (AMBIENTE LOTICO);Fósforo total;mg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;GLIFOSATO;Glifosato;µg/L;;65;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;GUTION;Gution;µg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;HEPTACLORO E HEPTACLORO EPOXIDO;Heptacloro epóxido e Heptacloro;µg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;HEXACLOROBENZENO;Hexaclorobenzeno;µg/L;;0.0065;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;INDENO(1,2,3-CD)PIRENO;Indeno(1,2,3-cd)pireno;µg/L;;0.05;
